iter	Passed	Remaining
0	86	86762
1	88	44025
2	89	29854
3	91	22895
4	93	18641
5	96	16043
6	98	13987
7	100	12402
8	100	11120
9	102	10102
10	103	9318
11	104	8621
12	105	8009
13	106	7529
14	108	7136
15	109	6754
16	111	6419
17	112	6159
18	114	5922
19	115	5676
20	116	5449
21	118	5265
22	120	5125
23	121	4950
24	122	4782
25	124	4648
26	125	4505
27	126	4395
28	128	4287
29	129	4176
30	130	4074
31	131	3966
32	133	3903
33	134	3814
34	136	3753
35	138	3706
36	139	3630
37	140	3558
38	142	3501
39	144	3456
40	145	3396
41	146	3334
42	148	3310
43	150	3271
44	151	3214
45	152	3172
46	154	3130
47	155	3084
48	156	3034
49	157	2989
50	158	2952
51	160	2917
52	160	2874
53	161	2833
54	162	2794
55	163	2759
56	165	2731
57	166	2701
58	167	2667
59	168	2634
60	169	2605
61	170	2577
62	171	2546
63	172	2518
64	173	2490
65	174	2463
66	175	2450
67	177	2427
68	178	2401
69	178	2375
70	179	2353
71	180	2328
72	182	2311
73	184	2302
74	185	2291
75	188	2288
76	190	2286
77	191	2266
78	192	2244
79	194	2231
80	195	2218
81	196	2200
82	196	2176
83	197	2158
84	198	2140
85	200	2130
86	201	2113
87	202	2095
88	203	2078
89	203	2061
90	204	2045
91	206	2034
92	207	2019
93	208	2009
94	209	1993
95	210	1978
96	210	1962
97	211	1949
98	212	1936
99	213	1922
100	215	1913
101	215	1900
102	216	1886
103	217	1872
104	218	1861
105	219	1849
106	220	1837
107	220	1825
108	221	1813
109	222	1802
110	223	1791
111	224	1780
112	225	1770
113	226	1759
114	227	1748
115	228	1738
116	228	1726
117	229	1716
118	230	1706
119	231	1696
120	232	1686
121	232	1676
122	233	1666
123	234	1657
124	235	1648
125	237	1645
126	237	1635
127	238	1626
128	239	1617
129	240	1608
130	241	1599
131	242	1591
132	243	1585
133	244	1578
134	245	1570
135	245	1562
136	246	1554
137	247	1546
138	248	1538
139	249	1532
140	250	1525
141	251	1516
142	251	1509
143	252	1502
144	253	1495
145	254	1489
146	255	1483
147	256	1476
148	257	1470
149	258	1463
150	259	1456
151	259	1449
152	260	1443
153	261	1439
154	262	1432
155	263	1426
156	264	1420
157	265	1413
158	266	1408
159	267	1402
160	268	1397
161	269	1392
162	270	1386
163	270	1380
164	271	1374
165	272	1368
166	273	1363
167	274	1359
168	275	1353
169	276	1348
170	276	1342
171	277	1337
172	278	1331
173	279	1326
174	280	1322
175	281	1317
176	282	1312
177	283	1306
178	283	1301
179	284	1296
180	285	1291
181	286	1289
182	288	1285
183	288	1281
184	289	1275
185	290	1271
186	291	1266
187	292	1261
188	293	1257
189	294	1253
190	294	1248
191	295	1244
192	296	1240
193	297	1235
194	298	1232
195	299	1228
196	300	1224
197	301	1219
198	302	1215
199	302	1211
200	303	1207
201	304	1203
202	305	1200
203	306	1196
204	307	1192
205	308	1188
206	309	1184
207	309	1180
208	311	1177
209	311	1173
210	312	1169
211	313	1165
212	314	1161
